state,date_admitted,population,area_sq_mi,median_household_income
Alabama,1819-12-14,4903185,52419,48123
Alaska,1959-01-03,710249,663268,73181
Arizona,1912-02-14,7278717,113990,56581
Arkansas,1836-06-15,3017804,53179,45869
California,1850-09-09,39512223,163696,71228
Colorado,1876-08-01,5758736,104094,69117
Connecticut,1788-01-09,3565287,5567,76106
Delaware,1787-12-07,982895,1982,62852
Florida,1845-03-03,21477737,65757,53267
Georgia,1788-01-02,10617423,59425,56183
HawaiiMoku,1959-08-21,1415872,10931,77765
Idaho,1890-07-03,1787065,83569,52225
Illinois,1818-12-03,12671821,57915,65030
Indiana,1816-12-11,6732219,36418,54181
Iowa,1846-12-27,3155070,58295,59955
Kansas,1861-01-29,2913314,82278,56422
Kentucky,1792-06-01,4467673,40408,48375
Louisiana,1812-04-30,4648794,52069,49973
Maine,1820-03-15,1344212,35385,56277
Maryland,1788-04-28,6045680,12407,80776
Massachusetts,1788-02-06,6892503,10565,77385
Michigan,1837-01-26,9883635,96716,54909
Minnesota,1858-05-11,5639632,86950,68388
Mississippi,1817-12-10,2976149,48430,43567
Missouri,1821-08-10,6137428,69715,53578
Montana,1889-11-08,1068778,147040,53386
Nebraska,1867-03-01,1934408,77358,59970
Nevada,1864-10-31,3080156,110577,58003
New Hampshire,1788-06-21,1359711,9349,73381
New Jersey,1787-12-18,8882190,8722,79363
New Mexico,1912-01-06,2096829,121590,46744
New York,1788-07-26,19453561,54555,64894
North Carolina,1789-11-21,10488084,53819,52752
North Dakota,1889-11-02,762062,70761,61843
Ohio,1803-03-01,11689100,44825,54021
Oklahoma,1907-11-16,3956971,69899,50051
Oregon,1859-02-14,4217737,98381,60212
Pennsylvania,1787-12-12,12801989,46055,59195
Rhode Island,1790-05-29,1059361,1214,63870
South Carolina,1788-05-23,5148714,32020,50570
South Dakota,1889-11-02,884659,77116,56521
Tennessee,1796-06-01,6829174,42143,52340
Texas,1845-12-29,28995881,268596,59206
Utah,1896-01-04,3205958,84899,68374
Vermont,1791-03-04,623989,9616,57513
Virginia,1788-06-25,8535519,42774,71535
Washington,1889-11-11,7614893,71362,70979
West Virginia,1863-06-20,1792147,24230,43469
Wisconsin,1848-05-29,5822434,65498,59305
Wyoming,1890-07-10,578759,97914,62268
